Nom;URL YT
Elvis Crespo - Suavemente;https://www.youtube.com/watch?v=WPiEbYSF9kE
Olvídame y Pega la Vuelta;https://www.youtube.com/watch?v=JDfqZTpMqnM
Lady Gaga - Just Dance (Official Music Video) ft. Colby O'Donis;https://www.youtube.com/watch?v=2Abk1jAONjw
YOASOBI?????? Official Music Video;https://www.youtube.com/watch?v=ZRtdQ81jPUQ
"Oshi No Ko - ""Sign wa B & STAR?T?RAIN""";https://www.youtube.com/watch?v=g9f87YuQBzw
I Want You Back - The Jackson 5;https://www.youtube.com/watch?v=s3Q80mk7bxE
Phinéas et Ferb - Générique;https://www.youtube.com/watch?v=cRlHqkzjTIM
Snap - Every Body Dance Now;https://www.youtube.com/watch?v=qgRMirYfcVk
Beat It;https://www.youtube.com/watch?v=kOn-HdEg6AQ
I Was Made For Lovin' You;https://www.youtube.com/watch?v=kLKr342VKaU
Daddy! daddy! do! - miura jam, airi suzuki;https://www.youtube.com/watch?v=WeT_c8waITc
Jazz suite no.2: VI. Waltz 2;https://www.youtube.com/watch?v=WaKdPgkTZ7M
Hopelessly Devoted To You (From “Grease”);https://www.youtube.com/watch?v=r-3NvDp28U4
Pink Floyd - The Great Gig In The Sky (2023 Remaster);https://www.youtube.com/watch?v=2PMnJ_Luk_o
Emmenez-moi (Remasterisé En 2001);https://www.youtube.com/watch?v=HwzWR_iNUFQ
Radiohead - Creep;https://www.youtube.com/watch?v=XFkzRNyygfk
Jeanette - Porque te vas;https://www.youtube.com/watch?v=TjUhXbGdLYo
Modjo - Lady (Hear Me Tonight);https://www.youtube.com/watch?v=mMfxI3r_LyA
Les sunlights des tropiques;https://www.youtube.com/watch?v=crznlzVsqfI
Angeleyes;https://www.youtube.com/watch?v=GHddJnNo_BQ
"OFFICIAL Somewhere over the Rainbow - Israel ""IZ"" Kamakawiwo?ole";https://www.youtube.com/watch?v=V1bFr2SWP1I
Jacques Brel - Ces gens-là;https://www.youtube.com/watch?v=H9fa9aWFbLM
Gotye - Somebody That I Used To Know (feat. Kimbra);https://www.youtube.com/watch?v=8UVNT4wvIGY
Boney M. - Sunny ;https://www.youtube.com/watch?v=ghGiv7YLC7Q
Kids - MGMT;https://www.youtube.com/watch?v=TK2G8gFhPuE
Sway - Michael Bublé;https://www.youtube.com/watch?v=a90tZJHBklk
Wait a Minute! - Willowsmith;https://www.youtube.com/watch?v=1Xfdjqa5dfY
Ms. Jackson - Outkast;https://www.youtube.com/watch?v=CSD2J8yaMmM
GARGÄNTUA - LA MORT AVEC TOI;https://www.youtube.com/watch?v=qJDlM_ACBzk
Jimmy Fontana Il Mondo;https://www.youtube.com/watch?v=E92bmikkFpU
Monsieur Periné - Nuestra Canción ft. Vicente García;https://www.youtube.com/watch?v=ahtMpUhoj9s
Young Wild and Free - Wiz Khalifa;https://www.youtube.com/watch?v=4A9UutuFLEw
Alanna Ubach, Antonio Sol - La Llorona;https://www.youtube.com/watch?v=T3I_bUwoQOM
The Kid LAROI, Justin Bieber - STAY;https://www.youtube.com/watch?v=kTJczUoc26U
Lady Gaga - Judas;https://www.youtube.com/watch?v=tzGmZKQIZZE
Gipsy Kings - Bamboléo;https://www.youtube.com/watch?v=NhGAQ6fjJxo
Cascada - Everytime We Touch;https://www.youtube.com/watch?v=4G6QDNC4jPs
Charles Aznavour - La bohème;https://www.youtube.com/watch?v=fVfnEyLOkrM
Elton John - I'm Still Standing;https://www.youtube.com/watch?v=ZHwVBirqD2s
Freddy Gladieux - Vive Les Promeneurs;https://www.youtube.com/watch?v=Hge4G7wdpbk
Bruno Mars - When I Was Your Man;https://www.youtube.com/watch?v=kON9fn01rUQ
Passenger | Let Her Go;https://www.youtube.com/watch?v=RBumgq5yVrA
Lady Gaga - Applause;https://www.youtube.com/watch?v=pco91kroVgQ
Bruno Mars - Locked Out Of Heaven;https://www.youtube.com/watch?v=e-fA-gBCkj0
Alicia Keys - Girl on Fire;https://www.youtube.com/watch?v=B4zp2XqvTRo
Pumpidup - Lorenzo;https://www.youtube.com/watch?v=5Skd5Hu673I
Frenetics - I Feel A Man;https://www.youtube.com/watch?v=jiV1tIVsuUU
Oui mais Non;https://www.youtube.com/watch?v=WNC2EB-l7Nk
Ice Cube - It Was A Good Day;https://www.youtube.com/watch?v=X3HaZBlt7TA
K. - Cigarettes After Sex;https://www.youtube.com/watch?v=L4sbDxR22z4
Kim Wilde - Cambodia;https://www.youtube.com/watch?v=BERFZja9wb0
Cover My Eyes - Fwango;https://www.youtube.com/watch?v=9J0pDxLWhGc
ThxSoMch - SPIT IN MY FACE!;https://www.youtube.com/watch?v=ZtCOsQqrBrs
Army Of Lovers - Crucified;https://www.youtube.com/watch?v=di18hTFTwIw
Dvorák - Serenade for Strings in E Major, Op. 22, B. 52: II. Tempo di valse;https://www.youtube.com/watch?v=OPfO97EpLRk
"Dvorak - Symphony No.9 in E Minor, Op.95, B. 178 ""From the New World"": IV. Allegro con fuoco";https://www.youtube.com/watch?v=32_O-NwzFM0
VIDEOCLUB - Amour plastique;https://www.youtube.com/watch?v=5NjJLFI_oYs
Thee Sacred Souls - Weak for your Love;https://www.youtube.com/watch?v=RfjT26dpuG0
